,0
0,"[6, 339, 246, 232, 266, 183, 278, 119, 441, 279]"
1,"[339, 6, 232, 266, 183, 246, 441, 278, 279, 635]"
2,"[6, 246, 305, 162, 339, 649, 314, 74, 232, 675]"
3,"[339, 6, 246, 232, 266, 443, 183, 278, 648, 557]"
4,"[339, 6, 246, 232, 183, 278, 266, 279, 441, 105]"
5,"[339, 6, 232, 266, 183, 246, 278, 635, 279, 216]"
6,"[339, 6, 232, 266, 246, 183, 635, 278, 279, 443]"
7,"[339, 6, 232, 246, 266, 183, 612, 278, 279, 360]"
8,"[13, 512, 547, 339, 193, 6, 473, 14, 586, 483]"
9,"[441, 183, 232, 266, 339, 246, 6, 504, 278, 318]"
10,"[339, 6, 232, 246, 266, 599, 183, 521, 138, 134]"
11,"[339, 6, 232, 266, 183, 246, 279, 278, 441, 635]"
12,"[252, 417, 470, 127, 578, 281, 523, 659, 627, 568]"
13,"[6, 339, 246, 232, 266, 316, 183, 539, 220, 327]"
14,"[339, 6, 232, 266, 183, 246, 278, 279, 441, 635]"
15,"[6, 339, 232, 183, 266, 246, 635, 279, 278, 441]"
16,"[339, 6, 232, 266, 183, 246, 279, 278, 441, 635]"
17,"[339, 6, 232, 183, 246, 266, 278, 316, 279, 441]"
18,"[441, 339, 183, 232, 6, 266, 246, 278, 121, 279]"
19,"[6, 339, 232, 183, 266, 246, 441, 278, 327, 279]"
20,"[339, 6, 232, 72, 266, 183, 246, 278, 301, 441]"
21,"[339, 6, 232, 266, 183, 246, 441, 279, 278, 635]"
22,"[339, 6, 232, 183, 266, 278, 246, 279, 441, 635]"
23,"[339, 6, 232, 183, 266, 441, 246, 278, 279, 635]"
24,"[339, 6, 232, 266, 183, 246, 441, 278, 279, 635]"
25,"[339, 6, 232, 183, 266, 278, 246, 441, 420, 279]"
26,"[420, 246, 395, 216, 6, 612, 121, 259, 160, 105]"
27,"[339, 6, 232, 246, 266, 183, 278, 279, 441, 635]"
28,"[122, 386, 74, 314, 162, 220, 684, 318, 305, 67]"
29,"[339, 6, 232, 266, 246, 183, 279, 278, 441, 635]"
30,"[339, 6, 232, 183, 266, 246, 441, 278, 279, 635]"
31,"[339, 6, 232, 183, 266, 246, 278, 441, 279, 635]"
32,"[64, 470, 257, 88, 488, 187, 452, 341, 535, 476]"
33,"[246, 492, 183, 441, 266, 443, 557, 278, 153, 14]"
34,"[262, 386, 613, 333, 342, 202, 542, 254, 203, 161]"
35,"[339, 6, 232, 246, 266, 183, 213, 279, 278, 441]"
36,"[339, 6, 498, 249, 652, 232, 579, 183, 53, 281]"
37,"[339, 6, 232, 266, 183, 246, 441, 279, 278, 80]"
38,"[249, 408, 496, 522, 208, 318, 122, 498, 612, 121]"
39,"[6, 339, 232, 246, 183, 266, 278, 495, 88, 441]"
40,"[339, 6, 232, 246, 266, 183, 278, 279, 441, 635]"
41,"[6, 339, 232, 183, 246, 278, 545, 266, 91, 579]"
42,"[219, 653, 537, 334, 472, 493, 314, 403, 695, 694]"
43,"[6, 339, 232, 246, 183, 266, 278, 327, 279, 489]"
44,"[6, 339, 232, 278, 246, 545, 119, 183, 655, 266]"
45,"[339, 6, 232, 266, 183, 278, 246, 441, 487, 121]"
46,"[441, 183, 470, 266, 187, 232, 246, 278, 612, 121]"
47,"[339, 6, 232, 246, 266, 183, 278, 279, 441, 118]"
48,"[339, 6, 232, 246, 266, 183, 441, 278, 279, 452]"
49,"[339, 183, 232, 6, 266, 441, 246, 278, 279, 318]"
50,"[339, 6, 232, 266, 183, 278, 246, 279, 441, 635]"
51,"[443, 681, 88, 612, 121, 260, 598, 341, 453, 290]"
52,"[360, 612, 684, 565, 444, 352, 334, 283, 281, 245]"
53,"[6, 339, 232, 183, 246, 278, 266, 483, 441, 119]"
54,"[390, 120, 411, 604, 70, 88, 163, 496, 466, 154]"
55,"[339, 6, 232, 246, 266, 183, 278, 279, 441, 635]"
56,"[339, 6, 183, 232, 246, 266, 441, 278, 193, 635]"
57,"[339, 6, 278, 183, 232, 246, 443, 266, 635, 623]"
58,"[339, 6, 232, 246, 183, 266, 278, 279, 441, 635]"
59,"[674, 612, 622, 563, 671, 146, 30, 240, 585, 222]"
60,"[339, 6, 232, 266, 183, 441, 246, 278, 483, 119]"
61,"[339, 6, 232, 183, 246, 266, 681, 278, 455, 495]"
62,"[246, 339, 6, 232, 183, 278, 266, 441, 492, 163]"
63,"[339, 6, 232, 183, 266, 246, 278, 279, 441, 635]"
64,"[6, 339, 232, 266, 183, 246, 441, 278, 635, 279]"
65,"[339, 6, 232, 266, 183, 246, 279, 278, 441, 635]"
66,"[499, 490, 349, 130, 2, 17, 258, 243, 54, 38]"
67,"[232, 339, 441, 183, 266, 6, 246, 278, 279, 635]"
68,"[339, 6, 232, 246, 266, 183, 327, 279, 278, 489]"
69,"[339, 6, 232, 266, 183, 246, 441, 477, 420, 279]"
70,"[54, 498, 53, 670, 589, 520, 545, 513, 287, 511]"
71,"[339, 6, 232, 183, 266, 246, 441, 278, 279, 635]"
72,"[339, 6, 232, 183, 266, 246, 278, 279, 441, 635]"
73,"[6, 339, 232, 183, 193, 278, 561, 266, 635, 370]"
74,"[339, 6, 232, 183, 266, 441, 246, 278, 635, 279]"
75,"[339, 6, 232, 246, 183, 266, 278, 279, 635, 441]"
76,"[339, 6, 232, 266, 183, 246, 441, 278, 279, 635]"
77,"[339, 6, 232, 246, 183, 266, 105, 455, 249, 160]"
78,"[339, 6, 232, 35, 108, 266, 491, 83, 183, 246]"
79,"[443, 407, 648, 681, 495, 14, 517, 575, 39, 514]"
